VARIABLE,LABEL,IGNORE,VALUE_RANGE
V99,Competition good or harmful,,"1##Competition is good. It stimulates people to work hard and develop new ideas
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Competition is harmful. It brings out the worst in people
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V100,Hard work brings success,,"1##In the long run, hard work usually brings a better life
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Hard work doesn´t generally bring success - it´s more a matter of luck and connections
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V101,Wealth accumulation,,"1##People can only get rich at the expense of others
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Wealth can grow so there´s enough for everyone
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V102,How much you trust: Your family,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V103,How much you trust: Your neighborhood,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V104,How much you trust: People you know personally,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V105,How much you trust: People you meet for the first time,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V106,How much you trust: People of another religion,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V107,How much you trust: People of another nationality,,"1##Trust completely
2##Trust somewhat
3##Do not trust very much
4##Do not trust at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V108,Confidence: The Churches,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##BH: Missing; DE,SE:Inapplicable ; RU:Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V109,Confidence: The armed forces,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V110,Confidence: The press,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V111,Confidence: Television,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V112,Confidence: Labour Unions,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V113,Confidence: The police,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM: Inapplicable; RU,DE: Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V114,Confidence: The courts,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V115,Confidence: The government (in your nation’s capital),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V116,Confidence: Political Parties,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V117,Confidence: Parliament,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V118,Confidence: The Civil service,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V119,Confidence: Universities,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplica{Inappropriate}ble ; RU:Inappropriate response; SG: Refused; Missing
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V120,Confidence: Major Companies,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V121,Confidence: Banks,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V122,Confidence: Environmental organizations,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V123,Confidence: Women's organizations,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V124,Confidence: Charitable or humanitarian organizations,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_00,Confidence: The European Union,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##DE,SE:Inapplicable; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_01,Confidence: The APEC (Asia-Pacific Economic Cooperation Conference),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_02,Confidence: CARICOM,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_03,Confidence: The Arab Maghreb Union,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_04,Confidence: The Organization of the Islamic World,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_05,Confidence: The NAFTA  (North American Free Trade Agreement),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_06,Confidence: The MERCOSUR,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_07,Confidence: The CIS,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_08,Confidence: The African Union,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_09,Confidence: The ASEAN (Association of South East Asian Nations),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_10,Confidence: The CER (closer economic relations) with Australia,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_11,Confidence: The Organization of American States (OAE),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_12,Confidence: SAARC,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_13,Confidence: UNASUR,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_14,Confidence: The Free Commerce Treaty (Tratado de libre comercio),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_15,Confidence: The Arab League,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_16,Confidence: Cooperation Council for the Arab states of Gulf (GCC),,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V125_17,Confidence: Mainland government,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V126,Confidence: The United Nations,,"1##A great deal
2##Quite a lot
3##Not very much
4##None at all
-5##Missing; RU,DE: Inappropriate response SG: Refused{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V127,Political system: Having a strong leader who does not have  to bother with parliament and elections,,"1##Very good
2##Fairly good
3##Bad
4##Very bad
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V128,"Political system: Having experts, not government, make decisions according to what they think is best for the country",,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##EC,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V129,Political system: Having the army rule,,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V130,Political system: Having a democratic political system,,"1##Very good
2##Fairly good
3##Fairly bad
4##Very bad
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V131,Democracy: Governments tax the rich and subsidize the poor.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##AM,DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V132,Democracy: Religious authorities interpret the laws.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V133,Democracy: People choose their leaders in free elections.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V134,Democracy: People receive state aid for unemployment.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V135,Democracy: The army takes over when government is incompetent.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V136,Democracy: Civil rights protect people’s liberty from state oppression,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V137,Democracy: The state makes people's incomes equal,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V138,Democracy: People obey their rulers,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V139,Democracy: Women have the same rights as men.,,"1##Not an essential characteristic of democracy
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##An essential characteristic of democracy
-5##SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V140,Importance of democracy,,"1##Not at all important
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Absolutely important
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V141,How democratically is this country being governed today,,"1##Not at all democratic
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely democratic
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V142,How much respect is there for individual human rights nowadays in this country,,"1##A great deal of respect for individual human rights
2##Fairly much  respect
3##Not much respect
4##No respect at all
-5##AM: Inapplicable; RU,DE: Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V143,Thinking about meaning and purpose of life,,"1##Often
2##Sometimes
3##Rarely
4##Never
-5##SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V144,Religious denomination,,"0##None
1##Aglipayan
2##Al-Hadis
3##Alliance
4##Ancestral worshipping / Tradition
5##Anglican
6##Armenian Apostolic Church
7##Assembly of God
8##Bahai
9##Baptist
10##Born again
11##Brgy. Sang Birhen
12##Buddhist
13##C & S Celestial
14##Cao dai
15##Catholic: doesn´t follow rules
16##Charismatic
17##Christian
18##Christian Fellowship
19##Christian Reform
20##Church of Christ / Church of Christ / Church of Christ of Latter-day Saints
21##Confucianism
22##Druse
23##El Shaddai
24##Essid
25##Evangelical
26##Faith in god
27##Filipinista
28##Free church/Non denominational church
29##Greek Catholic
30##Gregorian
31##Hindu
32##Hoa hao
33##Hussite
34##Iglesia ni Cristo (INC)
35##Independent African Church (e.g. ZCC, Shembe, etc.)
36##Independent Church
37##Israelita Nuevo Pacto Universal (FREPAP)
38##Jain
39##Jehovah witnesses
40##Jesus is Lord (JIL)
41##Jesus Miracle Crusade
42##Jew
43##Ka-a Elica
44##Lutheran
45##Mennonite
46##Methodists
47##Mita
48##Mormon
49##Muslim
50##Native
51##New Testament Christ/Biblist
52##Orthodox
53##Other;Not specific
54##Other: Brasil: Espirit,candombl,umbanda,esoterism,occultism
55##Other: Christian com
56##Other: Oriental
57##Other: Philippines (less 0.5%)
58##Other: Taiwan (taoism, protestant fundam., ancient cults)
59##Paganism
60##Pentecostal
61##Presbyterian
62##Protestant
63##Qadiani
64##Roman Catholic
65##Rosacruz
66##Salvation Army
67##Self Lealisation Fellowship
68##Seven Day Adventist
69##Shenism (Chinese Religion)
70##Shia
71##Sikh
72##Sisewiss
73##Spiritista
74##Spiritualists
75##Sunni
76##Tac
77##Taoist
78##The Church of Sweden
79##The Worldwide Church of God
80##Theosofists
81##Unitarian
82##United
83##United Church of Christ in the Philippines (UCCP)
84##Wicca
85##Zionist
86##Zoroastrian
87##Ratana
88##Ringatu
89##New Apostolic Church
90##Yiguan Dao
91##Daolism
12001##DZ: Christian (Quakers, Jehovah's Witnesses, Evangelical, Protestant)
360001##AU: Uniting Church
528001##Dutch Reformed (Nederlands Hervormd)
528002##Reformed Churches in the Netherlands (Gereformeerd)
710001##ZA: Evangelical/Apostolic Faith Mission
710002##ZA: African Traditional Religion
-1##Don´t know
-2##No answer
-4##Not asked in survey
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
"
V145,How often do you attend religious services,,"1##More than once a week
2##Once a week
3##Once a month
4##Only on special holy days
5##Once a year
6##Less often
7##Never, practically never
-5##Missing; DE,SE: Inapplicable{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V146,How often to you pray,,"1##Several times a day
2##Once a day
3##Several times each week
4##Only when attending religious services
5##Only on special holy days
6##Once a year
7##Less often than once a year
8##Never, practically never
-5##AM,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked
-3##Not applicable
-2##No answer
-1##Don´t know
"
V147,Religious person,,"1##A religious person
2##Not a religious person
3##An atheist
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V148,Believe in: God,,"1##Yes
2##No
-5##DE,SE,TR:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V149,Believe in: hell,,"1##Yes
2##No
-5##DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V150,Meaning of religion: To follow religious norms and ceremonies vs To do good to other people,,"1##Follow religious norms and ceremonies
2##Do good to other people
3##Neither of them, other (SI,IN)
4##Both (SI,IN)
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V151,Meaning of religion: To make sense of life after death vs To make sense of life in this world,,"1##Make sense of life after death
2##Make sense of life in this world
3##Neither of them, other (SI,IN)
4##Both (SI,IN)
-5##DE,SE,SG:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V152,How important is God in your life,,"1##Not at all important
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Very important
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V153,"Whenever science and religion conflict,  religion is always right",,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V154,The only acceptable religion  is my religion,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V155,All religions should be taught in public schools,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V156,People who belong to different religions are probably just as moral as those who belong to mine,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V157,Social position: People in their 20s,,"1##Extremely low position in society
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Extremely high position in society
-5##DE,SE:Inapplicable ; RU:Inappropriate response; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V158,Social position: People in their 40s,,"1##Extremely low position in society
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Extremely high position in society
-5##DE,SE:Inapplicable ; SG: Refused; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V159,Social position: People in their 70s,,"1##Extremely low position in society
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Extremely high position in society
-5##DE,SE:Inapplicable ; SG: Refused; BH,IQ: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160,Is a 30-year old boss acceptable,,"1##Completely unacceptable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely acceptable
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V161,People over 70: are seen as friendly,,"0##Not at all likely to be seen like this
1##1
2##2
3##3
4##Very likely to be viewed that way
-5##SE:Inapplicable; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V162,People over 70: are seen as competent,,"0##Not at all likely to be seen like this
1##1
2##2
3##3
4##Very likely to be viewed that way
-5##SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V163,People over 70: viewed with respect,,"0##Not at all likely to be seen like this
1##1
2##2
3##3
4##Very likely to be viewed that way
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V164,Is a 70-year old boss acceptable,,"1##Completely unacceptable
2##2
3##3
4##4
5##5
6##6
7##7
8##8
9##9
10##Completely acceptable
-5##DE,SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V165,Older people are not respected much these days,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; BH: Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V166,Older people get more than their fair share from the government,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; RU: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V167,Older people are a burden on society,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V168,Companies that employ young people perform better than those that employ people of different ages,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##DE,SE:Inapplicable ; RU:Inappropriate response; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V169,Old people have too much political influence,,"1##Strongly agree
2##Agree
3##Disagree
4##Strongly disagree
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160A,I see myself as someone who: is reserved,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160B,I see myself as someone who: is generally trusting,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160C,I see myself as someone who: tends to be lazy,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160D,"I see myself as someone who: is relaxed, handles stress well",,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160E,I see myself as someone who: has few artistic interests,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160F,"I see myself as someone who: is outgoing, sociable",,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160G,I see myself as someone who: tends to find fault with others,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160H,I see myself as someone who: does a thorough job,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; RU,DE: Inappropriate response{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160I,I see myself as someone who: gets nervous easily,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V160J,I see myself as someone who: has an active imagination,,"1##Disagree strongly
2##Disagree a little
3##Neither agree nor disagree
4##Agree a little
5##Agree Strongly
-5##Missing; Unknown
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V170,Secure in neighborhood,,"1##Very Secure
2##Quite secure
3##Not very secure
4##Not at all secure
-5##SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
V171,How frequently do the following things occur in your neighborhood: Robberies,,"1##Very Frequently
2##Quite frequently
3##Not frequently
4##Not at all frequently
-5##SE:Inapplicable ; Missing{Inappropriate}
-4##Not asked in survey
-3##Not applicable
-2##No answer
-1##Don´t know
"
