INDEX,VARIABLE,LABEL,IGNORE,VALUE_RANGE
006_024,F025,"Religious denomination 
",,"0:No religious denomination
1:Aglipayan
2:Al-Hadis
3:Alliance
4:Ancestral worshipping
5:Anglican
6:Armenian Apostolic Church
7:Assembly of God
8:Bahai
9:Baptist
10:Born again
11:Brgy. Sang Birhen
12:Buddhist
13:C & S Celestial
14:Cao dai
15:Catholic: doesn´t follow rules
16:Charismatic
17:Christian
18:Christian Fellowship
19:Christian Reform
20:Church of Christ / Church of Christ / Church of Christ of Latter-day Saints
21:Confucianism
22:Druse
23:El Shaddai
24:Essid
25:Evangelical
26:Faith in god
27:Filipinista
28:Free church/Non denominational church
29:Greek Catholic
30:Gregorian
31:Hindu
32:Hoa hao
33:Hussite
34:Iglesia ni Cristo (INC)
35:Independent African Church (e.g. ZCC, Shembe, etc.)
36:Independent Church
37:Israelita Nuevo Pacto Universal (FREPAP)
38:Jain
39:Jehovah witnesses
40:Jesus is Lord (JIL)
41:Jesus Miracle Crusade
42:Jew
43:Ka-a Elica
44:Lutheran
45:Mennonite
46:Methodists
47:Mita
48:Mormon
49:Muslim
50:Native
51:New Testament Christ/Biblist
52:Orthodox
53:Other
54:Other: Brasil: Espirit,candomblé,umbanda,esoterism,occultism
55:Other: Christian com
56:Other: Oriental
57:Other: Philippines (less 0.5%)
58:Other: Taiwan (taoism, protestant fundam., ancient cults)
59:Paganism
60:Pentecostal
61:Presbyterian
62:Protestant
63:Qadiani
64:Roman Catholic
65:Rosacruz
66:Salvation Army
67:Self Lealisation Fellowship
68:Seven Day Adventist
69:Shenism (Chinese Religion)
70:Shia
71:Sikh
72:Sisewiss
73:Spiritista
74:Spiritualists
75:Sunni
76:Tac
77:Taoist
78:The Church of Sweden
79:The Worldwide Church of God
80:Theosofists
81:Unitarian
82:United
83:United Church of Christ in the Philippines (UCCP)
84:Wicca
85:Zionist
86:Zoroastrian
87:Ratana
88:Ringatu
89:New Apostolic Church
90:Yiguan Dao
91:Daolism
12001:DZ: Christian (Quakers, Jehovah's Witnesses, Evangelical, Protestant)
360001:AU: Uniting Church
528001:Dutch Reformed (Nederlands Hervormd)
528002:Reformed Churches in the Netherlands (Gereformeerd)
710001:ZA: Evangelical/Apostolic Faith Mission
710002:ZA: African Traditional Religion
-5:Missing
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_027,F028,"How often do you attend religious services 
",,"1:More than once a week
2:Once a week
3:Once a month
4:Only on special holy days/Christmas/Easter days
5:Other specific holy days
6:Once a year
7:Less often
8:Never practically never
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_034,F034,"Religious person 
",,"1:A religious person
2:Not a religious person
3:A convinced atheist
4:Other answer
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_063,F063,"How important is God in your life 
",,"1:Not at all important
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Very important
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_114,F114,"Justifiable: claiming government benefits 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_118,F115,"Justifiable: avoiding a fare on public transport 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_119,F116,"Justifiable: cheating on taxes 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_120,F117,"Justifiable: someone accepting a bribe 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_121,F118,"Justifiable: homosexuality 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_122,F119,"Justifiable: prostitution 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_123,F120,"Justifiable: abortion 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_124,F121,"Justifiable: divorce 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_125,F122,"Justifiable: euthanasia 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
006_126,F123,"Justifiable: suicide 
",,"1:Never justifiable
2:2
3:3
4:4
5:5
6:6
7:7
8:8
9:9
10:Always justifiable
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
007_009,G006,"How proud of nationality 
",,"1:Very proud
2:Quite proud
3:Not very proud
4:Not at all proud
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable; Foreigner; Has not [country] nationality
-2:No answer
-1:Don´t know
"
010_002,S002,"Wave 
",,"1:1981-1984
2:1989-1993
3:1994-1998
4:1999-2004
5:2005-2009
6:2010-2014
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
010_004,S003,"Country/region 
",,"4:Afghanistan
8:Albania
12:Algeria
16:American Samoa
20:Andorra
24:Angola
28:Antigua
31:Azerbaijan
32:Argentina
36:Australia
40:Austria
48:Bahrain
50:Bangladesh
51:Armenia
52:Barbados
56:Belgium
60:Bermuda
64:Bhutan
68:Bolivia
70:Bosnia
72:Botswana
76:Brazil
84:Belize
100:Bulgaria
101:SrpSka Republic
104:Myanmar
108:Burundi
112:Belarus
116:Cambodia
120:Cameroon
124:Canada
132:Cape Verde
144:Sri Lanka
148:Chad
152:Chile
156:China
158:Taiwan
170:Colombia
180:D.R. Congo
184:Cook Islands
188:Costa Rica
191:Croatia
192:Cuba
196:Cyprus
197:Cyprus (T)
203:Czech Rep.
204:Benin
208:Denmark
214:Dominican Rep.
218:Ecuador
222:El Salvador
226:Eq.Guinea
231:Ethiopia
232:Eritrea
233:Estonia
246:Finland
250:France
268:Georgia
270:Gambia
275:Palestine
276:Germany
288:Ghana
292:Gibraltar
300:Greece
320:Guatemala
324:Guinea
328:Guyana
332:Haiti
340:Honduras
344:Hong Kong
348:Hungary
352:Iceland
356:India
360:Indonesia
364:Iran
368:Iraq
372:Ireland
376:Israel
380:Italy
384:Côte d'Ivoire
388:Jamaica
392:Japan
398:Kazakhstan
400:Jordan
404:Kenya
408:North Korea
410:South Korea
414:Kuwait
417:Kyrgyzstan
418:Laos
422:Lebanon
426:Lesotho
428:Latvia
430:Liberia
434:Libya
438:Liechtenstein
440:Lithuania
442:Luxembourg
450:Madagascar
454:Malawi
458:Malaysia
466:Mali
470:Malta
474:Martinique
478:Mauritania
480:Mauritius
484:Mexico
492:Monaco
496:Mongolia
498:Moldova
504:Morocco
508:Mozambique
512:Oman
516:Namibia
524:Nepal
528:Netherlands
554:New Zealand
558:Nicaragua
562:Niger
566:Nigeria
578:Norway
586:Pakistan
591:Panama
598:Papua New Guinea
600:Paraguay
604:Peru
608:Philippines
616:Poland
620:Portugal
624:Guinea-Bissau
626:Timor-Leste
630:Puerto Rico
634:Qatar
642:Romania
643:Russia
646:Rwanda
682:Saudi Arabia
686:Senegal
690:Seychelles
694:Sierra Leone
702:Singapore
703:Slovakia
704:Viet Nam
705:Slovenia
706:Somalia
710:South Africa
716:Zimbabwe
724:Spain
736:Sudan
740:Suriname
752:Sweden
756:Switzerland
760:Syria
762:Tajikistan
764:Thailand
768:Togo
780:Trinidad and Tobago
784:United Arab Emirates
788:Tunisia
792:Turkey
795:Turkmenistan
800:Uganda
804:Ukraine
807:Macedonia
818:Egypt
826:Great Britain
834:Tanzania
840:United States
850:U.S. Virgin Islands
854:Burkina Faso
858:Uruguay
860:Uzbekistan
862:Venezuela
887:Yemen
891:Serbia and Montenegro
894:Zambia
900:West Germany
901:East Germany
902:Tambov
903:Moscow
904:Basque Country
906:Andalusia
907:Galicia
909:North Ireland
910:Valencia
911:Serbia
912:Montenegro
913:Serbian Bosnia
914:Bosnia
915:Kosovo
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don't know
"
010_005,S003A,"Country/regions [with split ups] 
",,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don't know
4:Afghanistan
8:Albania
12:Algeria
16:American Samoa
20:Andorra
24:Angola
28:Antigua
31:Azerbaijan
32:Argentina
36:Australia
40:Austria
48:Bahrain
50:Bangladesh
51:Armenia
52:Barbados
56:Belgium
60:Bermuda
64:Bhutan
68:Bolivia
70:Bosnia
72:Botswana
76:Brazil
84:Belize
100:Bulgaria
101:SrpSka Republic
104:Myanmar
108:Burundi
112:Belarus
116:Cambodia
120:Cameroon
124:Canada
132:Cape Verde
144:Sri Lanka
148:Chad
152:Chile
156:China
158:Taiwan
170:Colombia
180:D.R. Congo
184:Cook Islands
188:Costa Rica
191:Croatia
192:Cuba
196:Cyprus
197:Cyprus (T)
203:Czech Rep.
204:Benin
208:Denmark
214:Dominican Rep.
218:Ecuador
222:El Salvador
226:Eq.Guinea
231:Ethiopia
232:Eritrea
233:Estonia
246:Finland
250:France
268:Georgia
270:Gambia
275:Palestine
276:Germany
288:Ghana
292:Gibraltar
300:Greece
320:Guatemala
324:Guinea
328:Guyana
332:Haiti
340:Honduras
344:Hong Kong
348:Hungary
352:Iceland
356:India
360:Indonesia
364:Iran
368:Iraq
372:Ireland
376:Israel
380:Italy
384:Côte d'Ivoire
388:Jamaica
392:Japan
398:Kazakhstan
400:Jordan
404:Kenya
408:North Korea
410:South Korea
414:Kuwait
417:Kyrgyzstan
418:Laos
422:Lebanon
426:Lesotho
428:Latvia
430:Liberia
434:Libya
438:Liechtenstein
440:Lithuania
442:Luxembourg
450:Madagascar
454:Malawi
458:Malaysia
466:Mali
470:Malta
474:Martinique
478:Mauritania
480:Mauritius
484:Mexico
492:Monaco
496:Mongolia
498:Moldova
504:Morocco
508:Mozambique
512:Oman
516:Namibia
524:Nepal
528:Netherlands
554:New Zealand
558:Nicaragua
562:Niger
566:Nigeria
578:Norway
586:Pakistan
591:Panama
598:Papua New Guinea
600:Paraguay
604:Peru
608:Philippines
616:Poland
620:Portugal
624:Guinea-Bissau
626:Timor-Leste
630:Puerto Rico
634:Qatar
642:Romania
643:Russia
646:Rwanda
682:Saudi Arabia
686:Senegal
690:Seychelles
694:Sierra Leone
702:Singapore
703:Slovakia
704:Viet Nam
705:Slovenia
706:Somalia
710:South Africa
716:Zimbabwe
724:Spain
736:Sudan
740:Suriname
752:Sweden
756:Switzerland
760:Syria
762:Tajikistan
764:Thailand
768:Togo
780:Trinidad and Tobago
784:United Arab Emirates
788:Tunisia
792:Turkey
795:Turkmenistan
800:Uganda
804:Ukraine
807:Macedonia
818:Egypt
826:Great Britain
834:Tanzania
840:United States
850:U.S. Virgin Islands
854:Burkina Faso
858:Uruguay
860:Uzbekistan
862:Venezuela
887:Yemen
891:Serbia and Montenegro
894:Zambia
900:West Germany
901:East Germany
902:Tambov
903:Moscow
904:Basque Country
906:Andalusia
907:Galicia
909:North Ireland
910:Valencia
911:Serbia
912:Montenegro
913:Serbian Bosnia
914:Bosnia
915:Kosovo
"
010_007,S006,"Original respondent number 
",Y,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
010_008,S007,"Unified respondent number 
",Y,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
010_008_001,s007_01,"Unified respondent number (EVS/WVS LF) 
",Y,"-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don't know
"
010_017,S017,"Weight 
",Y,"1:No weighting
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
010_018,S017A,"Weight [with split ups] 
",Y,"-5.000000:Missing; Unknown
-4.000000:Not asked in survey
-3.000000:Not applicable
-2.000000:No answer
-1.000000:Don´t know
1.000000:No weighting
0.01#100#Weighted
"
010_019,S018,"Equilibrated weight-1000 
",Y,"-5.000000:Missing; Unknown
-4.000000:Not asked in survey
-3.000000:Not applicable
-2.000000:No answer
-1.000000:Don't know
"
010_020,S018A,"Equilibrated weight-1000 [with split ups] 
",Y,"-5.000000:Missing; Unknown
-4.000000:Not asked in survey
-3.000000:Not applicable
-2.000000:No answer
-1.000000:Don't know
"
010_021,S019,"Equilibrated weight-1500 
",Y,"-5.000000:Missing; Unknown
-4.000000:Not asked in survey
-3.000000:Not applicable
-2.000000:No answer
-1.000000:Don't know
"
010_022,S019A,"Equilibrated weight-1500 [with split ups] 
",Y,"-5.000000:Missing; Unknown
-4.000000:Not asked in survey
-3.000000:Not applicable
-2.000000:No answer
-1.000000:Don't know
"
010_023,S020,"Year survey 
",,"1981:1981
1982:1982
1983:1983
1984:1984
1989:1989
1990:1990
1991:1991
1992:1992
1993:1993
1994:1994
1995:1995
1996:1996
1997:1997
1998:1998
1999:1999
2000:2000
2001:2001
2002:2002
2003:2003
2004:2004
2005:2005
2006:2006
2007:2007
2008:2008
2009:2009
2010:2010
2011:2011
2012:2012
2013:2013
2014:2014
-5:Missing; Unknown
-4:Not asked in survey
-3:Not applicable
-2:No answer
-1:Don´t know
"
